name,country,latitude,longitude,elevation
Etna,Italy,37.748,14.999,3357
Etna,Italy,37.748,14.999,3357
Karthala,Comoros,-11.75,43.38,2361
Ritter Island,Papua New Guinea,-5.519,148.115,75
Rabaul,Papua New Guinea,-4.246,152.194,688
Etna,Italy,37.748,14.999,3357
Nyiragongo,"Congo, DRC",-1.52,29.25,3470
Vesuvius,Italy,40.821,14.426,1281
Vesuvius,Italy,40.821,14.426,1281
Ischia,Italy,40.73,13.897,789
Alayta,Ethiopia,12.888,40.573,1496
Vesuvius,Italy,40.821,14.426,1281
Stromboli,Italy,38.789,15.213,924
Etna,Italy,37.748,14.999,3357
Karthala,Comoros,-11.75,43.38,2361
Rabaul,Papua New Guinea,-4.246,152.194,688
Vesuvius,Italy,40.821,14.426,1281
Okataina,New Zealand,-38.157,176.507,1111
Manam,Papua New Guinea,-4.08,145.037,1807
Karkar,Papua New Guinea,-4.647,145.976,1839
Campi Flegrei,Italy,40.827,14.139,458
"Fournaise, Piton de la",Reunion,-21.244,55.708,2632
Vesuvius,Italy,40.821,14.426,1281
Vesuvius,Italy,40.821,14.426,1281
Stromboli,Italy,38.789,15.213,924
Stromboli,Italy,38.789,15.213,924
Okataina,New Zealand,-38.157,176.507,1111
Etna,Italy,37.748,14.999,3357
Vesuvius,Italy,40.821,14.426,1281
Etna,Italy,37.748,14.999,3357
Etna,Italy,37.748,14.999,3357
Whakaari/White Island,New Zealand,-37.52,177.18,294
Niuafo'ou,Tonga,-15.6,-175.63,260
Nyamulagira,"Congo, DRC",-1.408,29.2,3058
Karkar,Papua New Guinea,-4.647,145.976,1839
Campi Flegrei,Italy,40.827,14.139,458
Niuafo'ou,Tonga,-15.6,-175.63,260
Bam,Papua New Guinea,-3.613,144.818,685
Vesuvius,Italy,40.821,14.426,1281
Oku Volcanic Field,Cameroon,6.25,10.5,3011
Etna,Italy,37.748,14.999,3357
Santorini,Greece,36.404,25.396,367
Dama Ali,Ethiopia,11.28,41.63,1068
Etna,Italy,37.748,14.999,3357
Dieng Volcanic Complex,Indonesia,-7.2,109.879,2565
Dieng Volcanic Complex,Indonesia,-7.2,109.879,2565
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Merapi,Indonesia,-7.54,110.446,2910
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Kelud,Indonesia,-7.935,112.314,1730
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Semeru,Indonesia,-8.108,112.922,3657
Lamongan,Indonesia,-7.981,113.341,1641
Lamongan,Indonesia,-7.981,113.341,1641
Raung,Indonesia,-8.119,114.056,3260
Raung,Indonesia,-8.119,114.056,3260
Raung,Indonesia,-8.119,114.056,3260
Raung,Indonesia,-8.119,114.056,3260
Raung,Indonesia,-8.119,114.056,3260
Ijen,Indonesia,-8.058,114.242,2769
Batur,Indonesia,-8.24,115.378,1711
Agung,Indonesia,-8.343,115.508,2997
Agung,Indonesia,-8.343,115.508,2997
Tambora,Indonesia,-8.25,118.0,2850
Iya,Indonesia,-8.891,121.641,618
